,id,title,assignee,inventor,priority_date,filing_date,publication_date,grant_date,result_link,representative_figure_link,country,kind_code,abstract,cpc_1,cpc_2,cpc_3,cpc_1_num,cpc_2_num,cpc_3_num,file_grant_days,cpc_1_GHY
0,US11967653B2,Phased solar power supply system ,"Ampt, Llc",['Anatoli Ledenev'],2013-03-15,2023-09-05,2024-04-23,2024-04-23,https://patents.google.com/patent/US11967653B2/en,https://patentimages.storage.googleapis.com/c0/ce/76/7fea0e524f1357/US11967653-20240423-D00000.png,US,B2,"A high efficiency solar power system combining photovoltaic sources of power ( ) can be converted by a base phase DC-DC photovoltaic converter ( ) and an altered phase DC-DC photovoltaic converter ( ) that have outputs combined through low energy storage combiner circuitry ( ). The converters can be synchronously controlled through a synchronous phase control ( ) that synchronously operates switches to provide a conversion combined photovoltaic DC output ( ). Converters can be provided for individual source conversion or phased operational modes, the latter presenting a combined low photovoltaic energy storage DC-DC photovoltaic converter ( ) at string or individual panel levels.","['F', 'G', 'H', 'Y']","['H02', 'F03', 'G05', 'F05', 'Y02']","['H02J', 'F03B', 'F03D', 'G05B', 'H02S', 'F05B', 'Y02E', 'Y02P']",4,5,8,231,1
1,US11867096B2,Calcination system with thermal energy storage system ,"Rondo Energy, Inc.","[""John Setel O'Donnell"", ' Peter Emery von Behrens', ' Chiaki Treynor', ' Jeremy Quentin Keller', ' Matthieu JONEMANN', ' Robert Ratz', ' Yusef Desjardins Ferhani']",2020-11-30,2023-02-20,2024-01-09,2024-01-09,https://patents.google.com/patent/US11867096B2/en,https://patentimages.storage.googleapis.com/35/06/4e/507b7c676ab62b/US11867096-20240109-D00000.png,US,B2,"An energy storage system converts variable renewable electricity (VRE) to continuous heat at over 1000Â° C. Intermittent electrical energy heats a solid medium. Heat from the solid medium is delivered continuously on demand. An array of bricks incorporating internal radiation cavities is directly heated by thermal radiation. The cavities facilitate rapid, uniform heating via reradiation. Heat delivery via flowing gas establishes a thermocline which maintains high outlet temperature throughout discharge. Gas flows through structured pathways within the array, delivering heat which may be used for processes including calcination, hydrogen electrolysis, steam generation, and thermal power generation and cogeneration. Groups of thermal storage arrays may be controlled and operated at high temperatures without thermal runaway via deep-discharge sequencing. Forecast-based control enables continuous, year-round heat supply using current and advance information of weather and VRE availability. High-voltage DC power conversion and distribution circuitry improves the efficiency of VRE power transfer into the system.","['B', 'F', 'H', 'Y']","['H02', 'B63', 'F03', 'F24', 'F05', 'Y02']","['H02N', 'B63B', 'F03B', 'F03D', 'F24S', 'H02K', 'H02S', 'F05B', 'Y02E']",4,6,9,323,0
2,US11757404B2,Coordinated control of renewable electric generation resource and charge storage device ,"8Me Nova, Llc","['Lukas Hansen', ' Philippe Garneau-Halliday', ' Gautham Ramesh', ' Bora Akyol', ' Brandon Carpenter', ' Rahul Mondal']",2019-02-08,2023-03-10,2023-09-12,2023-09-12,https://patents.google.com/patent/US11757404B2/en,https://patentimages.storage.googleapis.com/f6/22/bc/7b03d0308ca0cc/US11757404-20230912-D00000.png,US,B2,"A method includes generating a time-varying charge/discharge control signal for an electrical storage device, wherein generating the time-varying charge/discharge control signal comprises identifying a prioritization order of a stack of simultaneously operating control modes, the stack of simultaneously operating control modes including a staging mode and at least two additional control modes, each control mode of the stack comprising a plurality of control signal candidate values; identifying an intersection of one or more control signal candidate values from the plurality of control signal candidate values of each control mode of the stack according to the prioritization order; and determining, based on the prioritization order, at least one time-varying charge/discharge control signal for the electrical energy storage device from the intersection of control signal candidate values.","['H', 'Y']","['H02', 'Y02', 'Y04', 'Y10']","['H02J', 'H02M', 'Y02E', 'Y02P', 'Y04S', 'Y10S']",2,4,6,186,0
3,US11973345B2,Building energy system with predictive control of battery and green energy resources ,Johnson Controls Tyco IP Holdings LLP,"['Robert D. Turney', ' Nishith R. Patel']",2017-04-27,2023-06-02,2024-04-30,2024-04-30,https://patents.google.com/patent/US11973345B2/en,https://patentimages.storage.googleapis.com/0f/58/d5/b7dcb88571544b/US11973345-20240430-D00000.png,US,B2,A predictive controller for a building energy system includes one or more processing circuits configured to obtain a constraint that defines a total electric load to be served by the building energy system at each time step of a time period as a summation of multiple source-specific energy components. The source-specific energy components include a first energy component indicating a first amount of energy to obtain from a first energy source during the time step and a second energy component indicating a second amount of energy to obtain from a second energy source during the time step. The one or more processing circuits are configured to perform a predictive control process subject to the constraint to determine values of the source-specific energy components at each time step of the time period and operate equipment of the building energy system using the values of the source-specific energy components.,"['F', 'H', 'Y']","['F25', 'F24', 'H02', 'Y02']","['F25B', 'F24F', 'H02S', 'Y02E']",3,4,4,333,0
4,US11780305B2,Tonneau system for use with a pickup truck ,Worksport Ltd.,"['Steven Rossi', ' Jonathan Loudon']",2015-10-30,2023-01-10,2023-10-10,2023-10-10,https://patents.google.com/patent/US11780305B2/en,https://patentimages.storage.googleapis.com/36/65/cf/91e27dd2debca8/US11780305-20231010-D00000.png,US,B2,"A tonneau system for use with a pickup truck. The tonneau system includes a frame and a tonneau cover having a plurality of tonneau sections moveable between a folded position and an unfolded position. The tonneau cover includes solar energy-receiving material secured to a top exposed surface of at least two of the tonneau sections. The solar energy-receiving material moves with their corresponding tonneau sections between the unfolded and folded positions. A battery, transformer, and/or electrical cabling system may be included within the circuit for power storage and conversion.","['F', 'Y']","['F03', 'F01', 'F02', 'F22', 'F05', 'Y02']","['F03G', 'F01K', 'F02C', 'F22B', 'F05D', 'Y02E']",2,6,6,273,0
5,US11855250B2,Systems and methods for series battery charging ,"24M Technologies, Inc.","['Tony L. Taylor', ' Naoki Ota', ' Taison Tan']",2014-10-13,2023-01-03,2023-12-26,2023-12-26,https://patents.google.com/patent/US11855250B2/en,https://patentimages.storage.googleapis.com/7f/9f/fa/bf8d521ef6290c/US11855250-20231226-D00000.png,US,B2,"Systems and methods for charging and discharging a plurality of batteries are described herein. In some embodiments, a system includes a battery module, an energy storage system electrically coupled to the battery module, a power source, and a controller. The energy storage system is operable in a first operating state in which energy is transferred from the energy storage system to the battery module to charge the battery module, and a second operating state in which energy is transferred from the battery module to the energy storage system to discharge the battery module. The power source electrically coupled to the energy storage system and is configured to transfer energy from the power source to the energy storage system based on an amount of stored energy in the energy storage system. The controller is operably coupled to the battery module and is configured to monitor and control a charging state of the battery module.","['H', 'Y']","['H02', 'Y02']","['H02J', 'H02M', 'Y02E']",2,2,3,357,0
6,US11774996B2,"System, method, and apparatus for electric power grid and network management of grid elements ","Causam Enterprises, Inc.","['Joseph W. Forbes', ' Jr.']",2012-07-31,2023-01-18,2023-10-03,2023-10-03,https://patents.google.com/patent/US11774996B2/en,https://patentimages.storage.googleapis.com/01/a0/71/5a5fe4f614df91/US11774996-20231003-D00000.png,US,B2,"Systems, methods, and apparatus for smart electric power grid communication are disclosed in the present invention. At least one grid element is constructed and configured in network-based communication with a server via at least one coordinator. The at least one grid element is transformed into at least one active grid element automatically and/or autonomously after initial connection with the server. The at least one active grid element sends and receives messages to and from the server via at least one coordinator. The at least one coordinator matches and prioritizes the at least one active grid element. The at least one coordinator provides a priority flag on the messages. The at least one coordinator tracks an actual amount of power introduced to and available for an electric power grid or a curtailment power available from the at least one active grid element.","['F', 'Y']","['F01', 'F03', 'F22', 'Y02']","['F01K', 'F03G', 'F22B', 'Y02E']",2,4,4,258,0
7,US11947234B2,Solar power dynamic glass for heating and cooling buildings ,"View, Inc.","['Brandon Tinianov', ' Dhairya Shrivastava', ' Stephen Clark Brown', ' Erich Robert Klawuhn']",2017-02-16,2023-04-06,2024-04-02,2024-04-02,https://patents.google.com/patent/US11947234B2/en,https://patentimages.storage.googleapis.com/a4/e8/79/1f0e0e9a22c349/US11947234-20240402-D00000.png,US,B2,"Various embodiments herein relate to systems for powering electrochromic windows in a building. Systems may include photovoltaic panels configured to generate electrical power, energy storage device(s) configured for storing generated power, and one or more controllers on a network of electrochromic windows that are configured to receive power from the energy storage device(s) and power tint transitions in one or more electrochromic windows. Systems may include various additional circuit components described herein for regulating and/or controlling the generation, storage, and application of electric power. The systems and techniques described herein can be used to design networks of electrochromic windows that are hybrid-solar or off-the-grid (âOTGâ).","['G', 'H', 'Y']","['G05', 'H02', 'Y02']","['G05F', 'H02J', 'Y02E']",3,3,3,362,1
8,US11962268B2,Frameless solar module mounting ,Nextracker Llc,['Alexander W. Au'],2015-06-09,2023-05-11,2024-04-16,2024-04-16,https://patents.google.com/patent/US11962268B2/en,https://patentimages.storage.googleapis.com/c9/48/40/697b5a31c77e84/US11962268-20240416-D00000.png,US,B2,"In an example, a clamp assembly for a glass on glass solar module for a tracker is included. The assembly has a lower clamp structure characterized by a top-hat shaped rail structure having a length extending from a first end to a second end. In an example, the assembly has an upper clamp structure configured to sandwich a pair of edges of a pair of solar modules with a portion of the lower clamp structure. In an example, the assembly has a locking spacer configured to the pair of edges of the pair of solar modules. In an example, the pair of edges comprises substantially glass material. In an example, the assembly has a pair of key structures configured with the locking spacer. Each of the key structures is affixed to each of the solar modules to physically lock each of the solar modules to the upper clamp structure.","['F', 'H', 'Y']","['F03', 'H02', 'F05', 'Y02']","['F03D', 'H02K', 'H02S', 'F05B', 'Y02B', 'Y02E']",3,4,6,341,0
9,US11968763B2,Solar lamps with radial elements ,"Luminaid Lab, Llc","['Andrea M. Sreshta', ' Anna Ruth Stork']",2016-11-04,2023-08-30,2024-04-23,2024-04-23,https://patents.google.com/patent/US11968763B2/en,https://patentimages.storage.googleapis.com/83/ec/65/fdc350b057bdcf/US11968763-20240423-D00000.png,US,B2,"A solar-powered lamp is disclosed. The lamp includes a plurality of radiating extensions, each being formed from a plurality of flat panels that can fold relative to each other along lines between respective ones of the plurality of flat panels; and an electronics assembly, wherein the lamp is collapsible, and the flat panels for each of the radiating extensions fold relative to each other as the lamp is collapsed.","['F', 'H', 'Y']","['F01', 'F02', 'H02', 'F05', 'Y02']","['F01K', 'F02C', 'H02J', 'F05D', 'Y02E', 'Y02P', 'Y02T']",3,5,7,237,0
